date,predicted_close,actual_close
2024-11-01,18404.742,18239.919921875
2024-11-04,18309.383,18179.98046875
2024-11-05,18442.082,18439.169921875
2024-11-06,18802.344,18983.470703125
2024-11-07,19114.781,19269.4609375
2024-11-08,19213.438,19286.779296875
2024-11-11,19334.258,19298.759765625
2024-11-12,19349.992,19281.400390625
2024-11-13,19330.332,19230.720703125
2024-11-14,19267.648,19107.650390625
2024-11-15,18996.938,18680.119140625
2024-11-18,18917.068,18791.810546875
2024-11-19,18955.188,18987.470703125
2024-11-20,18985.494,18966.140625
2024-11-21,19043.895,18972.419921875
2024-11-22,19099.535,19003.650390625
2024-11-25,19163.756,19054.83984375
2024-11-26,19234.459,19174.30078125
2024-11-27,19177.156,19060.48046875
2024-11-29,19261.39,19218.169921875
2024-12-02,19403.836,19403.94921875
2024-12-03,19476.408,19480.91015625
2024-12-04,19657.55,19735.119140625
2024-12-05,19740.785,19700.259765625
2024-12-06,19883.184,19859.76953125
2024-12-09,19821.732,19736.689453125
2024-12-10,19827.568,19687.240234375
2024-12-11,20015.34,20034.890625
2024-12-12,19948.664,19902.83984375
2024-12-13,20005.418,19926.720703125
2024-12-16,20161.133,20173.890625
2024-12-17,20123.855,20109.060546875
2024-12-18,19828.516,19392.689453125
2024-12-19,19747.896,19372.76953125
2024-12-20,19647.867,19572.599609375
2024-12-23,19717.479,19764.880859375
2024-12-24,19969.432,20031.130859375
2024-12-26,20120.293,20020.359375
2024-12-27,19990.812,19722.029296875
2024-12-30,19785.258,19486.7890625
